nom_donateur,prenom_donateur,telephone,statut_adhesion
Ortiz,David,0612345678,true
Ramirez,Manny,0623456789,false
Martinez,Pedro,0634567890,true
Schilling,Curt,0645678901,false
Varitek,Jason,0656789012,true
Bryant,Kris,0667890123,true
Rizzo,Anthony,0678901234,false
Baez,Javier,0689012345,true
Lester,Jon,0690123456,false
Arrieta,Jake,0601234567,true
Schwarber,Kyle,0613456789,false
Heyward,Jason,0624567890,true
Ross,David,0635678901,false
Wakefield,Tim,0646789012,true
Millar,Kevin,0657890123,false
